poach /pəʊtʃ/ (v) | Săn trộm
risky /ˈrɪski/ (adj) | Liều, mạo hiểm, đầy rủi ro, đầy nguy hiểm
hypocritical /ˌhɪpəˈkrɪtɪkl/ (adjective) | Đạo đức giả, giả vờ
aquatic /əˈkwɑːtɪk/ (adj) | Dưới nước, sống trong nước
swarm /swɔːrm/ (noun) | Bầy, đàn (côn trùng)
hive /haɪv/ (noun) | Tổ ong
herd /hɜːrd/ (noun) | Bầy, đàn
forage /ˈfɔːrɪdʒ/ (verb) | Lục lọi, tìm kiếm ra cái gì
appalling /əˈpɔːlɪŋ/ (adjective) | Kinh hoàng
misunderstand /ˌmɪsʌndərˈstænd/ (verb) | Hiểu lầm, hiểu sai
mismanage /ˌmɪsˈmænɪdʒ/ (verb) | Quản lý yếu kém, quản lý sai lầm
mislead /ˌmɪsˈliːd/ (verb) | Làm cho mê muội, làm cho lầm đường lạc lối, đánh lừa
misjudge /ˌmɪsˈdʒʌdʒ/ (verb) | Xét sai, đánh giá sai, có nhận định sai lầm
miscalculate /ˌmɪsˈkælkjuleɪt/ (verb) | Tính toán sai, tính nhầm
social well-being /ˈsəʊʃl ˈwel biːɪŋ/ (phrase) | Khả năng duy trì quan hệ xã hội
unemployment benefit /ˌʌnɪmˈplɔɪmənt benɪfɪt/ (noun) | Trợ cấp thất nghiệp
dull /dʌl/ (adjective) | Buồn tẻ
notion /ˈnəʊʃn/ (noun) | Ý niệm, quan điểm, khái niệm
entice /ɪnˈtaɪs/ (verb) | Dụ dỗ, cám dỗ, lôi kéo
repetitive /rɪˈpetətɪv/ (adjective) | Lặp đi lặp lại, liên tục
irritating /ˈɪrɪteɪtɪŋ/ (adjective) | Khó chịu, bực tức, chọc giận
rebate /ˈriːbeɪt/ (noun) | Số tiền giảm bớt, số tiền được hoàn lại
treacherous /ˈtretʃərəs/ (adjective) | Phản bội, bội bạc, bội tín
essence /ˈesns/ (noun) | Bản chất, cốt lõi, điều cốt yếu
give yourself something to aim for /ɡɪv jɔːrˈself ˈsʌmθɪŋ tə eɪm fɔːr/ (phrase) | Đặt cho bản thân một thứ gì đó để nhắm tới
insignificance /ˌɪnsɪɡˈnɪfɪkəns/ (noun) | Sự tầm thường, sự không quan trọng
vocation /vəʊˈkeɪʃn/ (noun) | Thiên hướng, năng khiếu (về nghề nghiệp)
malnutrition /ˌmælnuˈtrɪʃn/ (noun) | Sự suy dinh dưỡng
impair /ɪmˈper/ (verb) | Làm suy yếu, làm sút kém, làm hư hỏng, làm hư hại
intriguing /ɪnˈtriːɡɪŋ/ (adjective) | Hấp dẫn, gây thích thú, kích thích sự tò mò
absurd /əbˈsɜːrd/ (adjective) | Vô lý, ngớ ngẩn
ludicrous /ˈluːdɪkrəs/ (adjective) | Đáng cười, lố lăng, lố bịch
complacent /kəmˈpleɪsnt/ (adjective) | Tự mãn
gallant /ˈɡælənt/ (adjective) | Lịch thiệp, trang trọng (dùng cho đàn ông)
assertive /əˈsɜːrtɪv/ (adjective) | Quả quyết, quyết đoán
passionate /ˈpæʃənət/ (adj) | Đam mê, nồng nhiệt, say mê
mundane /mʌnˈdeɪn/ (adj) | Nhàm chán, tầm thường
intimacy /ˈɪntɪməsi/ (n) | Sự thân mật, gần gũi
poverty /ˈpɑːvərti/ (n) | Sự nghèo đói
exterminate /ɪkˈstɜːrmɪneɪt/ (v) | Tiêu diệt
inspired /ɪnˈspaɪərd/ (adjective) | Đầy cảm hứng
obtain /əbˈteɪn/ (v) | Đạt được, lấy được
cutting-edge /ˌkʌtɪŋ ˈedʒ/ (adj) | Tân tiến, hiện đại
opportunistic /ˌɑːpərtuːˈnɪstɪk/ (adjective) | Tận dụng cơ hội
imminent /ˈɪmɪnənt/ (adj) | Sắp xảy ra
craving /'kreiviη/ (n) | Sự thèm muốn
temperament /ˈtemprəmənt/ (n) | Khí chất
ramification /ˌræmɪfɪˈkeɪʃn/ (noun) | Kết quả, hệ quả (của một hành động, thường dùng dạng số nhiều)
firmly /ˈfɜːrmli/ (adv) | Chắc chắn
reference manual /ˈrefrəns ˈmænjuəl/ (phrase) | Sách tham khảo
junior /ˈdʒuːniər/ (adj) | Ít tuổi hơn, cấp dưới
choosy /ˈtʃuːzi/ (adj) | Kén chọn
demise /dɪˈmaɪz/ (noun) | Sự kết thúc, sụp đổ, thất bại của một tổ chức, ý tưởng, công ty, v.v.
outrageous /aʊtˈreɪdʒəs/ (adjective) | Xúc phạm, không thể chấp nhận
blue-collar /ˌbluː ˈkɑːlər/ (adjective) | Công nhân cổ cồn (ý chỉ tầng lớp lao động)
aesthetics /esˈθetɪks/ (n) | Thẩm mỹ học, Mỹ học (một nhánh triết học)
dismantle /dɪsˈmæntl/ (verb) | Tháo dỡ
flawed /flɔːd/ (adjective) | Có thiếu sót, sai lầm
gauge /ɡeɪdʒ/ (noun) | Đồng hồ đo, thiết bị đo
substantiation /səbˌstænʃiˈeɪʃn/ (noun) | Chứng minh, Xác minh
regardless /rɪˈɡɑːrdləs/ (adverb) | Bất chấp, Mặc kệ
robust /rəʊˈbʌst/ (adjective) | Khỏe mạnh, vững chắc
aptitude /ˈæptɪtuːd/ (noun) | Năng khiếu, khả năng bẩm sinh
consensus /kənˈsensəs/ (noun) | Sự đồng thuận, sự nhất trí
succession /səkˈseʃn/ (noun) | Sự kế thừa, sự kế tục, sự nối tiếp
stringent /ˈstrɪndʒənt/ (adjective) | Nghiêm ngặt, khắc khe
consent /kənˈsent/ (noun) | Sự đồng ý, sự chấp thuận
expedite /ˈekspədaɪt/ (verb) | Đẩy nhanh, tăng tốc
apparent /əˈpærənt/ (adjective) | Rõ ràng, hiển nhiên
concurrent /kənˈkɜːrənt/ (adjective) | Đồng thời, cùng lúc
data-driven /ˈdætə drɪvn/ (adjective) | Dựa trên dữ liệu
sustained /səˈsteɪnd/ (adjective) | Duy trì
understaffed /ˌʌndərˈstæft/ (adjective) | Thiếu nhân sự
jeopardize /ˈdʒepərdaɪz/ (verb) | Làm nguy hiểm, gây rủi ro
cross-border /ˈkrɔːs bɔːrdər/ (adjective) | Liên quan đến hoạt động xuyên biên giới giữa hai quốc gia.
delegate /ˈdelɪɡət/ (noun) | Đại biểu
obsolete /ˌɑːbsəˈliːt/ (adjective) | Lỗi thời, lạc hậu
rogue /rəʊɡ/ (adjective) | Nguy hiểm (hành vi khác biệt gây hại)
litigation /ˌlɪtɪˈɡeɪʃn/ (noun) | Tố tụng
retrieve /rɪˈtri:v/ (verb) | Lấy lại được, tìm lại được
punitive /ˈpjuːnətɪv/ (adjective) | Mang tính phạt, nhằm mục đích trừng phạt.
entitlement /ɪnˈtaɪtlmənt/ (noun) | Quyền lợi
dispute /ˈdɪspjuːt/ (noun) | Tranh cãi, tranh luận
obfuscation /ˌɑːbfəˈskeɪʃn/ (noun) | Sự che đậy, làm mờ, làm khó hiểu
creep /kriːp/ (noun) | Sự lan rộng
legislation /ˌledʒɪsˈleɪʃn/ (noun) | Luật pháp hoặc bộ luật
attest /əˈtest/ (verb) | Chứng minh, Chứng thực
hinder /ˈhɪndər/ (verb) | Cản trở, ngăn cản
reliance /rɪˈlaɪəns/ (noun) | Sự phụ thuộc, sự dựa dẫm
drawback /ˈdrɔːbæk/ (noun) | Nhược điểm, Hạn chế
illicit /ɪˈlɪsɪt/ (adjective) | Bất hợp pháp, trái phép
jurisdiction /ˌdʒʊrɪsˈdɪkʃn/ (noun) | Thẩm quyền
consolidate /kənˈsɑːlɪdeɪt/ (verb) | Hợp nhất, củng cố
consolidate /kənˈsɑːlɪdeɪt/ (verb) | Củng cố
scrutiny /ˈskruːtəni/ (noun) | Sự xem xét kỹ lưỡng
sign off /saɪn ɔf/ (phrasal verb) | Kết thúc bức thư
sign off /saɪn ɔf/ (phrasal verb) | Kết thúc một chương trình phát thanh hoặc truyền hình bằng cách nói lời tạm biệt hoặc phát một đoạn nhạc
disturbing /dɪˈstɜːrbɪŋ/ (adjective) | Gây lo lắng và khó chịu hoặc gây sốc
perpetual /pərˈpetʃuəl/ (adjective) | Liên tục, không ngừng, luôn luôn, vĩnh viễn
flaunt /flɔːnt/ (verb) | Khoe khoang, phô trương, chưng diện
eccentric /ɪkˈsentrɪk/ (adjective) | Lập dị, kỳ cục, quái gở
crisis /ˈkraɪsɪs/ (n) | Sự khủng hoảng
strain /streɪn/ (n) | Sự căng thẳng
sceptical /ˈskeptɪkl/ (adj) | Hoài nghi, nghi ngờ
ethnic /ˈeθnɪk/ (adj) | Thuộc sắc tộc
cosmic /ˈkɑːzmɪk/ (adj) | Thuộc vũ trụ
sense /sens/ (n) | Cảm giác, tri giác
loosen /ˈluːsn/ (v) | Nới lỏng ra
motherhood /ˈmʌðərhʊd/ (n) | Việc làm mẹ
scarcity /ˈskersəti/ (n) | Sự khan hiếm, sự khó tìm
degradation /ˌdeɡrəˈdeɪʃn/ (noun) | Sự suy thoái
colony /ˈkɑːləni/ (n) | Thuộc địa
nocturnal /nɑːkˈtɜːrnl/ (adjective) | Thuộc đêm, về đêm
impartial /ɪmˈpɑːrʃl/ (adjective) | Công bằng, không thiên vị, vô tư
herbivore /ˈhɜːrbɪvɔːr/ (noun) | Động vật ăn cỏ
pack /pæk/ (noun) | Đàn, bầy (chó săn, chó sói...), đội
lifespan /ˈlaɪfspæn/ (noun) | Tuổi thọ
mistrust /ˌmɪsˈtrʌst/ (verb) | Không tin, nghi ngờ, ngờ vực, hồ nghi
misinform /ˌmɪsɪnˈfɔːrm/ (verb) | Báo tin tức sai, thông báo sai
misdiagnose /mɪsˈdaɪəɡnəʊz/ (verb) | Chẩn đoán sai (bệnh)
military service /ˌmɪləteri ˈsɜːrvɪs/ (noun) | Nghĩa vụ quân sự
subsidize /ˈsʌbsɪdaɪz/ (verb) | Trợ cấp
comfortable /ˈkʌmfərtəbl/ (adjective) | Dễ chịu, thoải mái, tiện nghi
invasive /ɪnˈveɪsɪv/ (adjective) | Lan tràn, di căn (bệnh)
gimmick /ˈɡɪmɪk/ (noun) | Mẹo, mánh khoé quảng cáo
perverse /pərˈvɜːrs/ (adjective) | Ngoan cố (làm điều sai trái)
hail /heɪl/ (verb) | Ca ngợi, hoan nghênh
vanquish /ˈvæŋkwɪʃ/ (verb) | Đánh bại
ingenious /ɪnˈdʒiːniəs/ (adjective) | Khéo léo, tài tình, mưu trí
self-congratulatory /ˌself kənˈɡrætʃələtɔːri/ (adjective) | Tự mãn, khoa trương, huênh hoang
eclectic /ɪˈklektɪk/ (adj) | Chiết trung, trung hòa, đa dạng
current affairs /ˌkʌrənt əˈferz/ (n) | Những việc chính trị thời sự
obey /əˈbeɪ/ (v) | Tuân theo, nghe theo
imprison /ɪmˈprɪzn/ (v) | Bỏ tù
enforce /ɪnˈfɔːrs/ (v) | Bắt tuân theo, ép buộc
deter /dɪˈtɜːr/ (v) | Ngăn chặn, cản trở
abolish /əˈbɒlɪʃ/ (v) | Thủ tiêu, bãi bỏ
victimless /ˈvɪktɪmləs/ (adj) | Không có nạn nhân
unintentional /ˌʌnɪnˈtenʃənl/ (adj) | Không cố ý
punishable /ˈpʌnɪʃəbl/ (adj) | Có thể bị trừng phạt
petty crime /ˈpeti kraɪm/ (phrase) | Tội nhẹ
on trial /ɑːn ˈtraɪəl/ (phrase) | Bị xử trong phiên toà
law-abiding /ˈlɔː əbaɪdɪŋ/ (adj) | Tuân thủ luật
innocent /ˈɪnəsnt/ (adj) | Vô tội, không có tội
harsh /hɑːrʃ/ (adj) | Gay gắt, khắc nghiệt, tàn nhẫn
guilty /ˈɡɪlti/ (adj) | Có tội, tội lỗi
vandalism /ˈvændəlɪzəm/ (n) | Hành động phá hoại
toxic waste /ˈtɑːksɪk weɪst/ (phrase) | Chất thải độc hại
the accused /ði əˈkjuːzd/ (n) | Người bị buộc tội
swearing /ˈsweərɪŋ/ (n) | Lời, sự chửi thề
smuggling /ˈsmʌɡlɪŋ/ (n) | Sự buôn lậu
recklessness /ˈrekləsnəs/ (n) | Tính thiếu thận trọng, coi thường
punishment /ˈpʌnɪʃmənt/ (n) | Hình phạt, sự trừng phạt
prosecutor /ˈprɑːsɪkjuːtər/ (n) | Người khởi tố
property crime /ˈprɑːpəti kraɪm/ (phrase) | Tội cướp tài sản, vụ cướp tài sản
pickpocketing /ˈpɪkpɑːkɪtɪŋ/ (n) | Sự móc túi
offence /əˈfens/ (noun) | Sự công kích, xúc phạm
kidnapping /ˈkɪdnæpɪŋ/ (n) | Việc bắt cóc
jury /ˈdʒʊri/ (n) | Hội đồng xét xử, bồi thẩm đoàn
judge /dʒʌdʒ/ (n) | Trọng tài, thẩm phán, người phân xử
inequality /ˌɪnɪˈkwɑːləti/ (n) | Sự bất bình đẳng, bất công
imprisonment /ɪmˈprɪznmənt/ (n) | Sự bỏ tù, bắt giam
fine /faɪn/ (n) | Tiền phạt
deterrent /dɪˈtɜːrənt/ (n) | Cái ngăn cản, cản trở
convict /kənˈvɪkt/ (v) | Kết tội
burglary /ˈbɜːrɡləri/ (n) | Sự trộm cắp
arson /ˈɑːrsn/ (n) | Sự cố ý gây hoả hoạn
persuade /pərˈsweɪd/ (v) | Thuyết phục
endorse /ɪnˈdɔːrs/ (v) | Làm đại diện quảng bá
monotonous /məˈnɑːtənəs/ (adj) | Đơn điệu, đều đều
hospitality /ˌhɑːspɪˈtæləti/ (n) | Lòng mến khách
workforce /ˈwɜːrkfɔːrs/ (n) | Số lao động, số nhân viên
wage /weɪdʒ/ (v) | Bắt đầu, tiến hành (một cuộc tranh đấu)
unemployment /ˌʌnɪmˈplɔɪmənt/ (n) | Sự thất nghiệp
takeover /ˈteɪkəʊvər/ (n) | Sự tiếp quản, mua lại (công ty)
shift work /ʃɪft wɜːrk/ (phrase) | Làm việc theo ca
prospect /ˈprɑːspekt/ (n) | Triển vọng
profession /prə'fe∫n/ (n) | Sự tuyên bố, sự bày tỏ
perk /pɜːrk/ (n) | Phúc lợi, tiện ích
occupation /ˌɑːkjuˈpeɪʃn/ (n) | Sở thích, thứ chiếm thời gian
niche /nit∫/ (n) | (Kinh doanh) Thị trường ngách
manual work /ˈmænjuəl wɜːrk/ (phrase) | Công việc tay chân
labourer /ˈleɪbərər/ (n) | Lao động phổ thông
earnings /ˈɜːrnɪŋz/ (n) | Tiền kiếm được
clerk /klɜːrk/ (n) | Nhân viên (bán hàng)
outweigh /ˌaʊtˈweɪ/ (v) | Lớn hơn, nhiều hơn, vượt hơn
expend /ɪkˈspend/ (v) | Tiêu tốn nhiều
emit /iˈmɪt/ (v) | Thải khí
discharge /dɪsˈtʃɑːrdʒ/ (v) | Đổ ra, chảy ra, cho ra
voluminous /vəˈluːmɪnəs/ (adjective) | To, to tướng
perimeter /pəˈrɪmɪtər/ (noun) | Chu vi (toán học)
temper /ˈtempər/ (noun) | Tâm trạng
glitch /ɡlɪtʃ/ (noun) | Sự trục trặc, sự cố
deplete /dɪˈpliːt/ (v) | Rút hết ra, làm cạn kiệt, làm suy yếu
consume /kənˈsuːm/ (v) | Làm hao mòn, thiêu cháy
conserve /kənˈsɜːrv/ (v) | Bảo tồn
absorb /əbˈzɔːrb/ (v) | Hấp thụ, thẩm thấu
unleaded /ˌʌnˈledɪd/ (adj) | Không chì (xăng dầu)
drastic /ˈdræstɪk/ (adj) | Quyết liệt, mạnh, trầm trọng
fumes /fjuːmz/ (n) | Khí (có mùi, có hại)
fortify /ˈfɔːrtɪfaɪ/ (verb) | Củng cố, làm cho vững chắc, làm cho mạnh thêm
inexorably /ɪnˈeksərəbli/ (adv) | Không tránh khỏi, không lay chuyển được
dump /dʌmp/ (v) | Thải ra
contaminate /kənˈtæmɪneɪt/ (v) | Gây ô nhiễm, làm bẩn
confront /kənˈfrʌnt/ (v) | Đương đầu, đối đầu, đối mặt
worthwhile /ˌwɜːrθˈwaɪl/ (adj) | Đáng làm, bõ công
viable /ˈvaɪəbl/ (adj) | Có thể làm được, có thể tồn tại độc lập (sinh học)
taxing /ˈtæksɪŋ/ (adj) | Đòi hỏi cao, khó khăn
sustainable /səˈsteɪnəbl/ (adj) | Bền vững (không gây hại cho môi trường)
pristine /ˈprɪstiːn/ (adj) | Mới tinh, nguyên sơ
pointless /ˈpɔɪntləs/ (adj) | Vô nghĩa, không có mục đích
liable /'laiəbl/ (adj) | Dễ có khả năng bị, có trách nhiệm pháp lý
irreversible /ˌɪrɪˈvɜːrsəbl/ (adj) | Không thể đảo ngược
irreplaceable /ˌɪrɪˈpleɪsəbl/ (adj) | Không thể thay thế
irreparable /ɪˈrepərəbl/ (adj) | Không thể sửa chữa
insoluble /ɪnˈsɑːljəbl/ (adj) | Không giải quyết được
improbable /ɪmˈprɑːbəbl/ (adj) | Không chắc sẽ xảy ra, không chắc chắn
impractical /ɪmˈpræktɪkl/ (adj) | Không thực tiễn, không thực tế
immune /ɪˈmjuːn/ (adj) | Miễn dịch (với bệnh)
futile /ˈfjuːtl/ (adj) | Vô ích, vô nghĩa
fruitless /ˈfruːtləs/ (adj) | Không ra quả, không đem lại kết quả
feasible /ˈfiːzəbl/ (adj) | Có thể thực hiện được, khả thi
doubtful /ˈdaʊtfl/ (adj) | Đầy nghi hoặc
devastate /ˈdevəsteɪt/ (v) | Tàn phá, phá hủy (hoàn toàn)
contaminated /kənˈtæmɪneɪtid/ (adj) | Bị ô nhiễm, bị làm bẩn
conceivable /kənˈsiːvəbl/ (adj) | Có thể hiểu được, tưởng tượng được
fuse /fjuːz/ (verb) | Hợp nhất lại
fuse /fjuːz/ (noun) | Cầu chì
defuse /diːˈfjuːz/ (verb) | Tháo gỡ, giảm bớt
suffuse /səˈfjuːz/ (verb) | (văn học) Chứa chan, ngập tràn
profuse /prəˈfjuːs/ (adjective) | Có nhiều, dồi dào, vô khối, vô vàn
diffuse /dɪˈfjuːs/ (adjective) | Có tính khuếch tán
infuse /ɪnˈfjuːz/ (verb) | Làm đầy, ngập tràn
refuse /ˈrefjuːs/ (n) | Rác rưởi, đồ thừa
greenhouse gases /ˈɡriːnhaʊs ˈɡæsɪz/ (phrase) | Các khí gây hiệu ứng nhà kính
erosion /ɪˈrəʊʒn/ (n) | Sự thoái hoá, xói mòn
deforestation /ˌdiːˌfɑːrɪˈsteɪʃn/ (n) | Sự chặt phá rừng
contamination /kənˌtæmɪˈneɪʃn/ (n) | Sự làm bẩn, làm ô nhiễm
remedy a situation /ˈremədi eɪ ˌsɪtʃuˈeɪʃn/ (phrase) | Khắc phục một tình huống
find a compromise /faɪnd eɪ ˈkɑːmprəmaɪz/ (phrase) | Đi đến một thỏa hiệp
overcome a difficulty /ˌəʊvəˈkʌm eɪ ˈdɪfɪkəlti/ (phrase) | Vượt qua khó khăn
